_id,FSA,BEV,PHEV,Total EV
102,L0L,418,138,556
103,L0M,230,75,305
104,L0N,26,8,34
105,L0P,169,36,205
106,L0R,727,293,1020
107,L0S,550,249,799
108,L0X,1,,1
109,L1A,97,43,140
110,L1B,89,27,116
111,L1C,372,125,497
112,L1E,164,68,232
113,L1G,177,79,256
114,L1H,162,64,226
115,L1J,250,84,334
116,L1K,370,107,477
117,L1L,189,50,239
118,L1M,248,79,327
119,L1N,367,186,553
120,L1P,349,93,442
121,L1R,404,104,508
122,L1S,353,131,484
123,L1T,504,133,637
124,L1V,502,131,633
125,L1W,199,61,260
126,L1X,363,80,443
127,L1Y,48,12,60
128,L1Z,431,132,563
129,L2A,88,36,124
130,L2E,63,32,95
131,L2G,154,65,219
132,L2H,190,73,263
133,L2J,71,39,110
134,L2M,86,54,140
135,L2N,181,79,260
136,L2P,71,29,100
137,L2R,181,156,337
138,L2S,109,50,159
139,L2T,64,35,99
140,L2V,132,38,170
141,L2W,12,6,18
142,L2Y,,1,1
143,L3A,1,,1
144,L3B,113,45,158
145,L3C,126,64,190
146,L3E,1,,1
147,L3G,,1,1
148,L3H,2,,2
149,L3J,100,44,144
150,L3K,65,39,104
151,L3L,24,2,26
152,L3M,352,144,496
153,L3N,1,,1
154,L3P,540,154,694
155,L3R,1210,303,1513
156,L3S,532,121,653
157,L3T,722,207,929
158,L3V,208,123,331
159,L3X,732,166,898
160,L3Y,453,202,655
161,L3Z,510,107,617
162,L4A,954,247,1201
163,L4B,951,236,1187
164,L4C,1154,260,1414
165,L4E,1186,238,1424
166,L4G,1190,286,1476
167,L4H,1276,239,1515
168,L4J,984,269,1253
169,L4K,597,127,724
170,L4L,641,130,771
171,L4M,314,109,423
172,L4N,753,236,989
173,L4P,276,74,350
174,L4R,78,37,115
175,L4S,774,181,955
176,L4T,173,51,224
177,L4V,56,15,71
178,L4W,525,167,692
179,L4X,82,22,104
180,L4Y,213,55,268
181,L4Z,305,133,438
182,L5A,185,54,239
183,L5B,465,134,599
184,L5C,286,79,365
185,L5E,117,40,157
186,L5G,320,107,427
187,L5H,403,112,515
188,L5J,276,99,375
189,L5K,146,40,186
190,L5L,429,157,586
191,L5M,1316,341,1657
192,L5N,787,290,1077
193,L5P,3,8,11
194,L5R,452,118,570
195,L5S,74,15,89
196,L5T,164,31,195
197,L5V,514,129,643
198,L5W,369,70,439
199,L5X,1,,1
200,L5Y,1,,1
201,L6A,1330,250,1580
202,L6B,709,144,853
203,L6C,1496,264,1760
204,L6E,661,127,788
205,L6G,136,60,196
206,L6H,1519,414,1933
207,L6J,720,231,951
208,L6K,358,151,509
209,L6L,707,187,894
210,L6M,1511,341,1852
211,L6N,1,1,2
212,L6P,1314,189,1503
213,L6R,782,178,960
214,L6S,328,130,458
215,L6T,258,142,400
216,L6V,206,80,286
217,L6W,176,48,224
218,L6X,807,173,980
219,L6Y,1048,263,1311
220,L6Z,224,80,304
221,L7A,1037,268,1305
222,L7B,529,91,620
223,L7C,775,162,937
224,L7E,436,112,548
225,L7G,537,191,728
226,L7H,2,,2
227,L7J,127,41,168
228,L7K,157,27,184
229,L7L,640,264,904
230,L7M,686,240,926
231,L7N,184,89,273
232,L7P,346,121,467
233,L7R,218,85,303
234,L7S,104,50,154
235,L7T,197,102,299
236,L8A,,1,1
237,L8B,341,112,453
238,L8E,397,138,535
239,L8G,124,47,171
240,L8H,91,43,134
241,L8J,258,80,338
242,L8K,99,79,178
243,L8L,113,52,165
244,L8M,49,40,89
245,L8N,60,35,95
246,L8P,141,92,233
247,L8R,41,21,62
248,L8S,74,49,123
249,L8T,70,42,112
250,L8V,49,40,89
251,L8W,130,56,186
252,L9A,105,55,160
253,L9B,176,84,260
254,L9C,240,120,360
255,L9E,460,59,519
256,L9G,386,152,538
257,L9H,365,207,572
258,L9J,82,15,97
259,L9K,251,82,333
260,L9L,123,36,159
261,L9M,60,41,101
262,L9N,477,108,585
263,L9P,197,72,269
264,L9R,231,73,304
265,L9S,373,96,469
266,L9T,1459,393,1852
267,L9V,159,54,213
268,L9W,427,150,577
269,L9X,201,57,258
270,L9Y,288,113,401
271,L9Z,146,61,207
272,M0N,1,,1
273,M1B,313,147,460
274,M1C,366,118,484
275,M1E,241,92,333
276,M1G,111,42,153
277,M1H,128,35,163
278,M1J,90,38,128
279,M1K,126,50,176
280,M1L,134,53,187
281,M1M,160,73,233
282,M1N,165,77,242
283,M1P,202,71,273
284,M1R,160,53,213
285,M1S,269,82,351
286,M1T,145,62,207
287,M1V,304,70,374
288,M1W,225,75,300
289,M1X,143,40,183
290,M2B,1,,1
291,M2E,1,,1
292,M2H,196,65,261
293,M2J,529,155,684
294,M2K,306,90,396
295,M2L,271,60,331
296,M2M,296,104,400
297,M2N,857,253,1110
298,M2P,206,35,241
299,M2R,185,87,272
300,M3A,471,68,539
301,M3B,339,89,428
302,M3C,240,62,302
303,M3H,304,90,394
304,M3J,171,50,221
305,M3K,71,13,84
306,M3L,58,18,76
307,M3M,48,21,69
308,M3N,79,22,101
309,M3R,,1,1
310,M3V,1,,1
311,M3Y,1,,1
312,M4A,64,27,91
313,M4B,120,48,168
314,M4C,200,101,301
315,M4E,247,112,359
316,M4G,355,120,475
317,M4H,29,21,50
318,M4J,225,98,323
319,M4K,208,99,307
320,M4L,254,116,370
321,M4M,316,90,406
322,M4N,349,116,465
323,M4P,174,61,235
324,M4R,170,66,236
325,M4S,288,63,351
326,M4T,150,53,203
327,M4V,272,87,359
328,M4W,262,93,355
329,M4X,50,18,68
330,M4Y,158,44,202
331,M5A,327,100,427
332,M5B,65,18,83
333,M5C,174,22,196
334,M5E,107,24,131
335,M5G,108,52,160
336,M5H,235,39,274
337,M5J,142,50,192
338,M5K,6,1,7
339,M5L,3,1,4
340,M5M,464,151,615
341,M5N,223,71,294
342,M5P,298,108,406
343,M5R,305,83,388
344,M5S,97,41,138
345,M5T,76,22,98
346,M5V,571,105,676
347,M5W,3,13,16
348,M5X,6,1,7
349,M6A,107,33,140
350,M6B,169,58,227
351,M6C,230,75,305
352,M6E,143,52,195
353,M6G,184,99,283
354,M6H,175,91,266
355,M6J,219,67,286
356,M6K,219,66,285
357,M6L,65,21,86
358,M6M,98,48,146
359,M6N,132,61,193
360,M6P,223,99,322
361,M6R,163,80,243
362,M6S,371,175,546
363,M6Y,1,,1
364,M6Z,1,,1
365,M7A,5,1,6
366,M8A,1,1,2
367,M8B,2,,2
368,M8V,378,123,501
369,M8W,227,58,285
370,M8X,213,72,285
371,M8Y,231,75,306
372,M8Z,419,142,561
373,M9A,377,139,516
374,M9B,362,111,473
375,M9C,236,95,331
376,M9L,72,18,90
377,M9M,79,17,96
378,M9N,81,31,112
379,M9P,102,29,131
380,M9R,113,45,158
381,M9V,218,55,273
382,M9W,1403,91,1494
383,M9Y,1,1,2
384,N0A,156,76,232
385,N0B,980,400,1380
386,N0C,81,38,119
387,N0E,157,77,234
388,N0G,302,156,458
389,N0H,391,195,586
390,N0J,162,81,243
391,N0K,62,42,104
392,N0L,318,138,456
393,N0M,304,159,463
394,N0N,119,90,209
395,N0P,148,89,237
396,N0R,297,183,480
397,N1A,37,16,53
398,N1C,39,23,62
399,N1E,297,134,431
400,N1G,259,113,372
401,N1H,291,121,412
402,N1J,1,,1
403,N1K,82,33,115
404,N1L,235,76,311
405,N1M,117,63,180
406,N1N,1,,1
407,N1P,43,13,56
408,N1R,228,68,296
409,N1S,168,68,236
410,N1T,181,56,237
411,N2A,248,99,347
412,N2B,133,47,180
413,N2C,87,37,124
414,N2E,192,83,275
415,N2G,137,47,184
416,N2H,171,94,265
417,N2J,193,72,265
418,N2K,385,126,511
419,N2L,301,108,409
420,N2M,177,76,253
421,N2N,152,94,246
422,N2P,287,112,399
423,N2R,248,71,319
424,N2S,1,,1
425,N2T,251,107,358
426,N2V,274,107,381
427,N2Z,120,52,172
428,N3A,172,86,258
429,N3B,77,44,121
430,N3C,246,94,340
431,N3E,47,6,53
432,N3G,1,,1
433,N3H,164,53,217
434,N3K,1,,1
435,N3L,172,71,243
436,N3M,2,,2
437,N3P,30,27,57
438,N3R,152,71,223
439,N3S,100,50,150
440,N3T,306,119,425
441,N3V,20,3,23
442,N3W,112,48,160
443,N3Y,94,39,133
444,N4B,14,12,26
445,N4C,1,,1
446,N4G,112,49,161
447,N4K,136,81,217
448,N4L,36,24,60
449,N4N,42,17,59
450,N4S,154,68,222
451,N4T,132,47,179
452,N4V,26,12,38
453,N4W,85,33,118
454,N4X,60,30,90
455,N4Z,19,11,30
456,N5A,177,104,281
457,N5C,83,31,114
458,N5H,42,15,57
459,N5K,1,,1
460,N5L,23,6,29
461,N5N,2,,2
462,N5P,83,54,137
463,N5R,107,63,170
464,N5V,80,59,139
465,N5W,64,35,99
466,N5X,241,123,364
467,N5Y,69,43,112
468,N5Z,37,47,84
469,N6A,82,53,135
470,N6B,41,22,63
471,N6C,134,83,217
472,N6E,48,49,97
473,N6G,357,182,539
474,N6H,196,122,318
475,N6J,70,49,119
476,N6K,246,147,393
477,N6L,56,30,86
478,N6M,51,18,69
479,N6N,13,2,15
480,N6P,104,64,168
481,N6R,1,,1
482,N6X,1,,1
483,N7A,67,39,106
484,N7G,75,39,114
485,N7L,60,39,99
486,N7M,100,32,132
487,N7S,85,54,139
488,N7T,69,35,104
489,N7V,31,18,49
490,N7W,13,10,23
491,N7X,15,6,21
492,N8A,21,17,38
493,N8H,60,48,108
494,N8M,41,37,78
495,N8N,142,95,237
496,N8P,67,45,112
497,N8R,32,32,64
498,N8S,45,34,79
499,N8T,30,21,51
500,N8V,1,,1
501,N8W,63,56,119
502,N8X,69,28,97
503,N8Y,46,28,74
504,N9A,53,81,134
505,N9B,46,24,70
506,N9C,10,12,22
507,N9E,86,41,127
508,N9G,96,63,159
509,N9H,113,59,172
510,N9J,125,66,191
511,N9K,19,7,26
512,N9T,1,,1
513,N9V,94,70,164
514,N9Y,89,41,130
515,P0A,61,27,88
516,P0B,72,24,96
517,P0C,30,8,38
518,P0E,17,14,31
519,P0G,11,9,20
520,P0H,69,70,139
521,P0J,40,30,70
522,P0K,9,8,17
523,P0L,19,29,48
524,P0M,102,89,191
525,P0N,4,4,8
526,P0P,25,39,64
527,P0R,16,17,33
528,P0S,14,7,21
529,P0T,42,43,85
530,P0V,8,7,15
531,P0W,4,2,6
532,P0X,12,13,25
533,P1A,29,25,54
534,P1B,73,68,141
535,P1C,17,10,27
536,P1H,96,46,142
537,P1L,117,53,170
538,P1P,41,23,64
539,P2A,65,23,88
540,P2B,16,15,31
541,P2N,5,3,8
542,P3A,57,57,114
543,P3B,46,37,83
544,P3C,19,23,42
545,P3E,172,103,275
546,P3G,39,26,65
547,P3L,14,18,32
548,P3N,18,24,42
549,P3P,102,140,242
550,P3S,1,,1
551,P3Y,21,23,44
552,P4N,21,22,43
553,P4P,2,8,10
554,P4R,8,10,18
555,P5A,2,6,8
556,P5E,4,6,10
557,P5N,13,17,30
558,P6A,66,53,119
559,P6B,84,29,113
560,P6C,14,13,27
561,P7A,59,59,118
562,P7B,51,60,111
563,P7C,29,31,60
564,P7E,22,33,55
565,P7G,36,37,73
566,P7J,13,18,31
567,P7K,15,13,28
568,P7L,4,3,7
569,P8A,1,,1
570,P8N,12,12,24
571,P8T,6,6,12
572,P9A,7,11,18
573,P9N,17,19,36
